ISOCODE,CONVERSIONRATE,DECIMALPLACES,ISACTIVE,ISCORPORATE
AED,3.6729,2,TRUE,TRUE
ARS,9.0879,2,TRUE,TRUE
AUD,1.30140551795939614783966684018740239459,2,TRUE,TRUE
BDT,77.473,2,TRUE,TRUE
BRL,3.1243,2,TRUE,TRUE
CAD,1.2397,2,TRUE,TRUE
CHF,.9303,2,TRUE,TRUE
CLP,635.19,2,TRUE,TRUE
CNY,6.2034,2,TRUE,TRUE
COP,2588.7,2,TRUE,TRUE
CZK,24.394,2,TRUE,TRUE
DKK,6.6742,2,TRUE,TRUE
EUR,.8944999999999999999999999999999999999969,2,TRUE,TRUE
GBP,.6361,2,TRUE,TRUE
GHS,4.3862,2,TRUE,TRUE
HKD,7.7522,2,TRUE,TRUE
IDR,13323,2,TRUE,TRUE
ILS,3.7659,2,TRUE,TRUE
INR,63.76,2,TRUE,TRUE
JPY,122.12,2,TRUE,TRUE
KES,98.843,2,TRUE,TRUE
KRW,1115.3,0,TRUE,TRUE
LKR,133.17,2,TRUE,TRUE
MXN,15.688,2,TRUE,TRUE
MYR,3.779,2,TRUE,TRUE
MZN,38.376,2,TRUE,TRUE
NGN,198.84,2,TRUE,TRUE
NOK,7.8983,2,TRUE,TRUE
NZD,1.46864444118079013070935526509032163313,2,TRUE,TRUE
PLZ,3.7509,2,TRUE,TRUE
QAR,3.6409,2,TRUE,TRUE
RUB,55.829,2,TRUE,TRUE
SAR,3.7504,2,TRUE,TRUE
SEK,8.2441,2,TRUE,TRUE
SGD,1.3453,2,TRUE,TRUE
THB,33.76,2,TRUE,TRUE
TRY,2.6909,2,TRUE,TRUE
TWD,30.856,0,TRUE,TRUE
TZS,2184.1,2,TRUE,TRUE
UAH,20.995,2,TRUE,TRUE
UGX,3317.3,2,TRUE,TRUE
VEF,6.3,2,TRUE,TRUE
VND,21753,2,TRUE,TRUE
ZAR,12.241,2,TRUE,TRUE
